program_id,athlete_id,athlete_first,athlete_last,nationality,start_number,swim,t1,bike,t2,run,position,total_time
4532,5692,Jan,Frodeno,GER,7,00:16:33,00:00:56,00:55:42,00:00:17,00:31:02,1,01:44:31
4532,5296,Kris,Gemmell,NZL,3,00:16:42,00:00:51,00:56:18,00:00:19,00:30:37,2,01:44:49
4532,5695,Javier,Gomez Noya,ESP,2,00:16:35,00:00:54,00:56:26,00:00:21,00:30:36,3,01:44:51
4532,5662,Laurent,Vidal,FRA,4,00:16:37,00:00:56,00:56:19,00:00:17,00:30:53,4,01:45:04
4532,5297,Bevan,Docherty,NZL,8,00:16:31,00:00:58,00:56:26,00:00:19,00:31:27,5,01:45:39
4532,6442,Jarrod,Shoemaker,USA,5,00:16:41,00:00:56,00:56:18,00:00:19,00:31:33,6,01:45:48
4532,5755,Yulian,Malyshev,RUS,10,00:16:38,00:00:54,00:56:24,00:00:22,00:31:32,7,01:45:50
4532,5591,Courtney,Atkinson,AUS,6,00:16:38,00:00:53,00:55:42,00:00:19,00:32:37,8,01:46:07
4532,6084,Dan,Wilson,AUS,12,00:16:38,00:00:53,00:56:22,00:00:17,00:32:08,9,01:46:17
4532,5332,Maik,Petzold,GER,1,00:16:35,00:00:58,00:55:40,00:00:19,00:33:04,10,01:46:35
4532,5942,Gavin,Noble,IRL,19,00:16:44,00:00:54,00:56:18,00:00:22,00:32:35,11,01:46:54
4532,5331,Danylo,Sapunov,UKR,15,00:16:40,00:00:58,00:56:16,00:00:21,00:32:42,12,01:46:57
4532,5327,Hirokatsu,Tayama,JPN,16,00:16:31,00:00:58,00:56:27,00:00:22,00:32:45,13,01:47:02
4532,5742,Yuichi,Hosoda,JPN,18,00:16:52,00:00:51,00:56:11,00:00:24,00:32:56,14,01:47:14
4532,5654,Ryosuke,Yamamoto,JPN,14,00:17:09,00:00:54,00:55:50,00:00:19,00:33:09,15,01:47:22
4532,5758,Kuniaki,Takahama,JPN,27,00:17:14,00:00:59,00:55:48,00:00:24,00:33:25,16,01:47:49
4532,15944,Brendan,Sexton,AUS,30,00:17:18,00:00:58,00:55:39,00:00:19,00:33:42,17,01:47:55
4532,5669,Claude,Eksteen,RSA,17,00:16:50,00:00:53,00:56:14,00:00:21,00:33:49,18,01:48:04
4532,10108,Joshua,Amberger,AUS,26,00:16:27,00:00:58,00:56:30,00:00:19,00:33:49,19,01:48:05
4532,5655,Junichi,Yamamoto,JPN,29,00:17:20,00:00:56,00:55:38,00:00:19,00:34:08,20,01:48:21
4532,10107,Josh,Mchugh,AUS,25,00:17:16,00:00:54,00:55:47,00:00:21,00:34:26,21,01:48:43
4532,11315,Andrea,Salvisberg,SUI,23,00:16:35,00:00:56,00:56:26,00:00:22,00:35:13,22,01:49:30
4532,15593,Sam,Appleton,AUS,34,00:17:17,00:00:59,00:55:45,00:00:22,00:35:23,23,01:49:48
4532,18576,Aleksandr,Latin,EST,41,00:17:16,00:01:01,00:55:42,00:00:21,00:36:05,24,01:50:25
4532,5705,Hideo,Fukui,JPN,28,00:17:00,00:01:01,00:55:59,00:00:22,00:36:04,25,01:50:27
4532,10003,Adam,Carlton,AUS,20,00:17:03,00:00:59,00:55:53,00:00:22,00:36:45,26,01:51:04
4532,6102,Ben,Pattle,NZL,38,00:16:46,00:00:58,00:56:15,00:00:19,00:37:13,27,01:51:31
4532,5776,Hiroki,Sugimoto,JPN,22,00:16:39,00:00:58,00:56:22,00:00:22,00:38:24,28,01:52:44
4532,16315,Kohei,Tsubaki,JPN,35,00:18:15,00:00:51,00:59:10,00:00:17,00:34:47,29,01:53:22
4532,10017,Cameron,Good,AUS,36,00:18:13,00:01:03,00:59:04,00:00:21,00:35:06,30,01:53:46
4532,6827,Roman,Bauer,KAZ,32,00:18:17,00:01:01,00:59:01,00:00:27,00:35:22,31,01:54:09
4532,11535,Ognjen,Stojanovic,SRB,39,00:17:21,00:01:01,00:59:54,00:00:21,00:35:58,32,01:54:35
4532,18332,Carlos Javier,Quinchara Forero,COL,44,00:17:27,00:00:59,00:59:53,00:00:22,00:37:50,33,01:56:32
4532,28508,Shane,Barrie,AUS,37,00:16:28,00:00:58,01:00:43,00:00:22,00:38:57,34,01:57:28
4532,10100,Drew,Box,AUS,24,00:16:39,00:00:53,01:00:35,00:00:24,00:39:37,35,01:58:08
4532,10982,Kwon-Chul,Kim,KOR,42,00:17:24,00:01:04,00:59:52,00:00:26,00:39:36,36,01:58:25
4532,11979,Thomas,Springer,AUT,31,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,DNS,DNS
4532,5635,Joe,Umphenour,USA,21,00:16:41,00:00:56,00:56:18,00:00:19,00:00:00,DNF,DNF
4532,5718,David,Hauss,FRA,9,00:16:44,00:00:58,00:56:17,00:00:21,00:00:00,DNF,DNF
4532,5638,Daniel,Unger,GER,11,00:17:15,00:01:03,00:00:00,00:00:00,00:00:00,DNF,DNF
4532,6544,Haeng Joon,Lee,KOR,43,00:17:22,00:01:04,00:00:00,00:00:00,00:00:00,DNF,DNF
4532,5804,Dmitriy,Smurov,KAZ,33,00:17:28,00:00:53,00:00:00,00:00:00,00:00:00,DNF,DNF
4532,71413,Jin Seop,Shin,KOR,40,00:18:55,00:00:56,00:00:00,00:00:00,00:00:00,DNF,DNF
