PROG ID,ATHLETE ID,ATHLETE FIRST,ATHLETE LAST,NATIONALITY,START NUMBER,SWIM,T1,BIKE,T2,RUN,POSITION,TOTAL TIME,PROGRAM
4534,5530,Emma,Snowsill,AUS,9,00:20:26,00:00:40,01:04:08,00:00:22,00:34:46,2,02:00:20,Elite Women
4534,7766,Daniela,Ryf,SUI,12,00:20:42,00:00:40,01:03:50,00:00:22,00:35:29,3,02:01:01,Elite Women
4534,6210,Sarah,Haskins,USA,17,00:20:05,00:00:43,01:03:54,00:00:25,00:36:14,4,02:01:18,Elite Women
4534,5573,Helen,Jenkins,GBR,19,00:20:06,00:00:38,01:04:29,00:00:23,00:35:53,5,02:01:27,Elite Women
4534,6783,Andrea,Hewitt,NZL,8,00:20:39,00:00:43,01:03:52,00:00:23,00:36:10,6,02:01:44,Elite Women
4534,5410,Jessica,Harrison,FRA,2,00:20:11,00:00:38,01:04:26,00:00:21,00:36:31,7,02:02:05,Elite Women
4534,12785,Juri,Ide,JPN,4,00:20:32,00:00:42,01:04:00,00:00:23,00:36:53,8,02:02:28,Elite Women
4534,6246,Sarah,True,USA,22,00:20:09,00:00:41,01:04:27,00:00:22,00:37:14,9,02:02:52,Elite Women
4534,5476,Lauren,Groves,CAN,15,00:21:07,00:00:39,01:05:33,00:00:22,00:35:20,10,02:02:59,Elite Women
4534,5567,Debbie,Tanner,NZL,26,00:20:52,00:00:40,01:03:44,00:00:27,00:37:33,11,02:03:13,Elite Women
4534,5399,Laura,Bennett,USA,40,00:20:10,00:00:40,01:04:25,00:00:22,00:37:51,12,02:03:26,Elite Women
4534,6120,Lisa,Norden,SWE,11,00:20:43,00:00:40,01:03:50,00:00:21,00:38:03,13,02:03:35,Elite Women
4534,11070,Mary Beth,Ellis,USA,25,00:20:45,00:00:41,01:03:13,00:00:24,00:38:36,14,02:03:38,Elite Women
4534,5312,Anja,Dittmer,GER,16,00:21:04,00:00:44,01:05:30,00:00:24,00:36:01,15,02:03:41,Elite Women
4534,6150,Barbara,Riveros,CHI,24,00:21:04,00:00:38,01:05:36,00:00:30,00:35:58,16,02:03:43,Elite Women
4534,5398,Elizabeth,May,LUX,31,00:20:58,00:00:42,01:05:39,00:00:23,00:36:33,17,02:04:13,Elite Women
4534,12786,Mariko,Adachi,JPN,21,00:20:41,00:00:43,01:05:56,00:00:23,00:37:03,18,02:04:43,Elite Women
4534,5523,Magali,Di Marco Messmer,SUI,1,00:20:45,00:00:41,01:05:51,00:00:21,00:37:21,19,02:04:57,Elite Women
4534,5369,Kiyomi,Niwata,JPN,10,00:21:22,00:00:42,01:06:05,00:00:23,00:36:32,20,02:05:02,Elite Women
4534,6224,Kerry,Lang,GBR,37,00:20:55,00:00:41,01:05:44,00:00:27,00:38:00,21,02:05:44,Elite Women
4534,5571,Kathy,Tremblay,CAN,6,00:20:56,00:00:40,01:05:41,00:00:22,00:38:17,22,02:05:54,Elite Women
4534,15483,Lisa,Mensink,CAN,43,00:21:22,00:00:43,01:06:07,00:00:21,00:37:38,23,02:06:08,Elite Women
4534,6209,Rebeccah,Wassner,USA,35,00:21:01,00:00:41,01:05:39,00:00:26,00:38:46,24,02:06:31,Elite Women
4534,21978,Aileen,Reid,IRL,30,00:21:14,00:00:42,01:09:00,00:00:30,00:36:45,25,02:08:09,Elite Women
4534,5943,Maria,Czesnik,POL,20,00:21:29,00:00:45,01:08:42,00:00:25,00:37:34,26,02:08:54,Elite Women
4534,6338,Chie,Nakashima,JPN,36,00:20:09,00:00:41,01:06:30,00:00:24,00:42:07,27,02:09:49,Elite Women
4534,5559,Amanda,Stevens,USA,38,00:20:52,00:00:43,01:08:30,00:00:21,00:40:33,28,02:10:58,Elite Women
4534,23837,Akane,Tsuchihashi,JPN,33,00:20:10,00:00:42,01:11:05,00:00:31,00:39:43,29,02:12:08,Elite Women
4534,6862,Amanda,Felder,USA,41,00:22:13,00:00:47,01:07:58,00:00:24,00:41:03,30,02:12:22,Elite Women
4534,6434,Jasmine,Oeinck,USA,49,00:20:46,00:00:42,01:05:55,00:00:27,00:00:00,DNF,00:00:00,Elite Women
4534,7730,Rebecca,Spence,NZL,42,00:21:07,00:00:45,01:08:10,00:00:27,00:00:00,DNF,00:00:00,Elite Women
4534,5539,Carole,Peon,FRA,23,00:21:07,00:00:41,01:09:06,00:00:27,00:00:00,DNF,00:00:00,Elite Women
4534,6435,Jenna,Parker,USA,34,00:21:24,00:00:39,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
4534,5467,Vendula,Frintova,CZE,14,00:22:11,00:00:41,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
4534,5517,Annabel,Luxford,AUS,29,00:20:38,00:00:41,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
4534,5318,Mariana,Ohata,BRA,44,00:21:40,00:00:46,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
4534,5576,Ai,Ueda,JPN,18,00:23:11,00:00:47,00:00:00,00:00:00,00:00:00,DNF,00:00:00,Elite Women
